ID,Nome,WhatsApp,Link_Conversa_WhatsApp,Endereço,Bairro,Cidade_UF,Categoria,Nota_Google,Qtd_Avaliacoes,Possui_Site,Link_Google_Maps
1,Bezerrão churrascaria e pizzaria,(31) 99831-1567,https://wa.me/5531998311567?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20trabalho%20com%20cria%C3%A7%C3%A3o%20de%20sites%20e%20card%C3%A1pios%20digitais%20para%20churrascarias.%0A%0AEstava%20no%20Google%20Maps%20e%20vi%20que%20a%20Bezerr%C3%A3o%20churrascaria%20e%20pizzaria%20tem%20uma%20excelente%20avalia%C3%A7%C3%A3o%20%284.7%20%E2%98%85%20com%2011676%20avalia%C3%A7%C3%B5es%21%29%2C%20mas%20notei%20que%20voc%C3%AAs%20ainda%20n%C3%A3o%20possuem%20um%20site%20pr%C3%B3prio%20nem%20card%C3%A1pio%20interativo%20na%20bio%20do%20Instagram.%0A%0AHoje%20muitos%20clientes%20pesquisam%20no%20Google%20antes%20de%20sair%20para%20almo%C3%A7ar%20ou%20pedir%20delivery.%20Trabalho%20com%202%20op%C3%A7%C3%B5es%20bem%20pr%C3%A1ticas%20para%20restaurantes%3A%0A%0A1.%20%F0%9F%93%B1%20Card%C3%A1pio%20Digital%20no%20WhatsApp%20%28o%20cliente%20monta%20o%20pedido%20e%20envia%20pronto%20direto%20pro%20seu%20WhatsApp%20-%20op%C3%A7%C3%A3o%20mais%20econ%C3%B4mica%29.%0A2.%20%F0%9F%92%B3%20Site%20Completo%20com%20Pagamento%20Online%20%28o%20cliente%20faz%20o%20pedido%20e%20realiza%20o%20pagamento%20direto%20pelo%20site%29.%0A%0APosso%20te%20explicar%20rapidinho%20como%20funciona%20e%20te%20passar%20os%20valores%20sem%20compromisso%3F,"Av. Princesa Isabel, 331 - São Joaquim, Contagem - MG, 32110-005",São Joaquim,Contagem - MG,Restaurante,4.7,11676,Não,https://www.google.com/maps/place/?q=place_id:ChIJ8wIXkp6TpgARLlN5bYqbpM0
2,Gauchitos Grill,(11) 94229-1507,https://wa.me/5511942291507?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20trabalho%20com%20cria%C3%A7%C3%A3o%20de%20sites%20e%20card%C3%A1pios%20digitais%20para%20churrascarias.%0A%0AEstava%20no%20Google%20Maps%20e%20vi%20que%20a%20Gauchitos%20Grill%20tem%20uma%20excelente%20avalia%C3%A7%C3%A3o%20%284.5%20%E2%98%85%20com%203272%20avalia%C3%A7%C3%B5es%21%29%2C%20mas%20notei%20que%20voc%C3%AAs%20ainda%20n%C3%A3o%20possuem%20um%20site%20pr%C3%B3prio%20nem%20card%C3%A1pio%20interativo%20na%20bio%20do%20Instagram.%0A%0AHoje%20muitos%20clientes%20pesquisam%20no%20Google%20antes%20de%20sair%20para%20almo%C3%A7ar%20ou%20pedir%20delivery.%20Trabalho%20com%202%20op%C3%A7%C3%B5es%20bem%20pr%C3%A1ticas%20para%20restaurantes%3A%0A%0A1.%20%F0%9F%93%B1%20Card%C3%A1pio%20Digital%20no%20WhatsApp%20%28o%20cliente%20monta%20o%20pedido%20e%20envia%20pronto%20direto%20pro%20seu%20WhatsApp%20-%20op%C3%A7%C3%A3o%20mais%20econ%C3%B4mica%29.%0A2.%20%F0%9F%92%B3%20Site%20Completo%20com%20Pagamento%20Online%20%28o%20cliente%20faz%20o%20pedido%20e%20realiza%20o%20pagamento%20direto%20pelo%20site%29.%0A%0APosso%20te%20explicar%20rapidinho%20como%20funciona%20e%20te%20passar%20os%20valores%20sem%20compromisso%3F,"Av. São Camilo, 397 - Granja Viana, Cotia - SP, 06709-150",Granja Viana,Cotia - SP,Restaurante brasileiro,4.5,3272,Não,https://www.google.com/maps/place/?q=place_id:ChIJR6VtJqirz5QREfdOspY2iS8
3,Sela de Prata,(11) 99368-6960,https://wa.me/5511993686960?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20trabalho%20com%20cria%C3%A7%C3%A3o%20de%20sites%20e%20card%C3%A1pios%20digitais%20para%20churrascarias.%0A%0AEstava%20no%20Google%20Maps%20e%20vi%20que%20a%20Sela%20de%20Prata%20tem%20uma%20excelente%20avalia%C3%A7%C3%A3o%20%284.2%20%E2%98%85%20com%202331%20avalia%C3%A7%C3%B5es%21%29%2C%20mas%20notei%20que%20voc%C3%AAs%20ainda%20n%C3%A3o%20possuem%20um%20site%20pr%C3%B3prio%20nem%20card%C3%A1pio%20interativo%20na%20bio%20do%20Instagram.%0A%0AHoje%20muitos%20clientes%20pesquisam%20no%20Google%20antes%20de%20sair%20para%20almo%C3%A7ar%20ou%20pedir%20delivery.%20Trabalho%20com%202%20op%C3%A7%C3%B5es%20bem%20pr%C3%A1ticas%20para%20restaurantes%3A%0A%0A1.%20%F0%9F%93%B1%20Card%C3%A1pio%20Digital%20no%20WhatsApp%20%28o%20cliente%20monta%20o%20pedido%20e%20envia%20pronto%20direto%20pro%20seu%20WhatsApp%20-%20op%C3%A7%C3%A3o%20mais%20econ%C3%B4mica%29.%0A2.%20%F0%9F%92%B3%20Site%20Completo%20com%20Pagamento%20Online%20%28o%20cliente%20faz%20o%20pedido%20e%20realiza%20o%20pagamento%20direto%20pelo%20site%29.%0A%0APosso%20te%20explicar%20rapidinho%20como%20funciona%20e%20te%20passar%20os%20valores%20sem%20compromisso%3F,"Av. Prof. Pedro Clarismundo Fornari, 45 - Engordadouro, Jundiaí - SP, 13214-660",Engordadouro,Jundiaí - SP,"Churrascaria, Restaurante self-service, Pizzaria, Restaurante de carne",4.2,2331,Não,https://www.google.com/maps/place/?q=place_id:ChIJ-VuplfAlz5QRicvGBHN9a-Q
4,Espeto da Esquina | Bar,(31) 98592-3880,https://wa.me/5531985923880?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20trabalho%20com%20cria%C3%A7%C3%A3o%20de%20sites%20e%20card%C3%A1pios%20digitais%20para%20churrascarias.%0A%0AEstava%20no%20Google%20Maps%20e%20vi%20que%20a%20Espeto%20da%20Esquina%20%7C%20Bar%20tem%20uma%20excelente%20avalia%C3%A7%C3%A3o%20%284.5%20%E2%98%85%20com%202192%20avalia%C3%A7%C3%B5es%21%29%2C%20mas%20notei%20que%20voc%C3%AAs%20ainda%20n%C3%A3o%20possuem%20um%20site%20pr%C3%B3prio%20nem%20card%C3%A1pio%20interativo%20na%20bio%20do%20Instagram.%0A%0AHoje%20muitos%20clientes%20pesquisam%20no%20Google%20antes%20de%20sair%20para%20almo%C3%A7ar%20ou%20pedir%20delivery.%20Trabalho%20com%202%20op%C3%A7%C3%B5es%20bem%20pr%C3%A1ticas%20para%20restaurantes%3A%0A%0A1.%20%F0%9F%93%B1%20Card%C3%A1pio%20Digital%20no%20WhatsApp%20%28o%20cliente%20monta%20o%20pedido%20e%20envia%20pronto%20direto%20pro%20seu%20WhatsApp%20-%20op%C3%A7%C3%A3o%20mais%20econ%C3%B4mica%29.%0A2.%20%F0%9F%92%B3%20Site%20Completo%20com%20Pagamento%20Online%20%28o%20cliente%20faz%20o%20pedido%20e%20realiza%20o%20pagamento%20direto%20pelo%20site%29.%0A%0APosso%20te%20explicar%20rapidinho%20como%20funciona%20e%20te%20passar%20os%20valores%20sem%20compromisso%3F,"R. Bom Despacho - Santa Tereza, Belo Horizonte - MG, 31010-390",Santa Tereza,Belo Horizonte - MG,Bar,4.5,2192,Não,https://www.google.com/maps/place/?q=place_id:ChIJccv0jCiapgARU1bsycy6vyc
5,Churrasfão Espetinhos,(11) 98329-5637,https://wa.me/5511983295637?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20trabalho%20com%20cria%C3%A7%C3%A3o%20de%20sites%20e%20card%C3%A1pios%20digitais%20para%20churrascarias.%0A%0AEstava%20no%20Google%20Maps%20e%20vi%20que%20a%20Churrasf%C3%A3o%20Espetinhos%20tem%20uma%20excelente%20avalia%C3%A7%C3%A3o%20%284.6%20%E2%98%85%20com%201969%20avalia%C3%A7%C3%B5es%21%29%2C%20mas%20notei%20que%20voc%C3%AAs%20ainda%20n%C3%A3o%20possuem%20um%20site%20pr%C3%B3prio%20nem%20card%C3%A1pio%20interativo%20na%20bio%20do%20Instagram.%0A%0AHoje%20muitos%20clientes%20pesquisam%20no%20Google%20antes%20de%20sair%20para%20almo%C3%A7ar%20ou%20pedir%20delivery.%20Trabalho%20com%202%20op%C3%A7%C3%B5es%20bem%20pr%C3%A1ticas%20para%20restaurantes%3A%0A%0A1.%20%F0%9F%93%B1%20Card%C3%A1pio%20Digital%20no%20WhatsApp%20%28o%20cliente%20monta%20o%20pedido%20e%20envia%20pronto%20direto%20pro%20seu%20WhatsApp%20-%20op%C3%A7%C3%A3o%20mais%20econ%C3%B4mica%29.%0A2.%20%F0%9F%92%B3%20Site%20Completo%20com%20Pagamento%20Online%20%28o%20cliente%20faz%20o%20pedido%20e%20realiza%20o%20pagamento%20direto%20pelo%20site%29.%0A%0APosso%20te%20explicar%20rapidinho%20como%20funciona%20e%20te%20passar%20os%20valores%20sem%20compromisso%3F,"Av. Dom Pedro I, 884 - Conceição, Diadema - SP, 09991-000",Conceição,Diadema - SP,"Churrascaria, Bar, Restaurante de churrasquinho",4.6,1969,Não,https://www.google.com/maps/place/?q=place_id:ChIJY8vzl1lEzpQRfzkkpjhTaos
6,Restaurante do Gaúcho,(11) 99283-6040,https://wa.me/5511992836040?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20trabalho%20com%20cria%C3%A7%C3%A3o%20de%20sites%20e%20card%C3%A1pios%20digitais%20para%20churrascarias.%0A%0AEstava%20no%20Google%20Maps%20e%20vi%20que%20a%20Restaurante%20do%20Ga%C3%BAcho%20tem%20uma%20excelente%20avalia%C3%A7%C3%A3o%20%284.5%20%E2%98%85%20com%201808%20avalia%C3%A7%C3%B5es%21%29%2C%20mas%20notei%20que%20voc%C3%AAs%20ainda%20n%C3%A3o%20possuem%20um%20site%20pr%C3%B3prio%20nem%20card%C3%A1pio%20interativo%20na%20bio%20do%20Instagram.%0A%0AHoje%20muitos%20clientes%20pesquisam%20no%20Google%20antes%20de%20sair%20para%20almo%C3%A7ar%20ou%20pedir%20delivery.%20Trabalho%20com%202%20op%C3%A7%C3%B5es%20bem%20pr%C3%A1ticas%20para%20restaurantes%3A%0A%0A1.%20%F0%9F%93%B1%20Card%C3%A1pio%20Digital%20no%20WhatsApp%20%28o%20cliente%20monta%20o%20pedido%20e%20envia%20pronto%20direto%20pro%20seu%20WhatsApp%20-%20op%C3%A7%C3%A3o%20mais%20econ%C3%B4mica%29.%0A2.%20%F0%9F%92%B3%20Site%20Completo%20com%20Pagamento%20Online%20%28o%20cliente%20faz%20o%20pedido%20e%20realiza%20o%20pagamento%20direto%20pelo%20site%29.%0A%0APosso%20te%20explicar%20rapidinho%20como%20funciona%20e%20te%20passar%20os%20valores%20sem%20compromisso%3F,"R. das Pitangueiras, 777 - Jardim, Santo André - SP, 09090-150",Jardim,Santo André - SP,"Restaurante brasileiro, Restaurante",4.5,1808,Não,https://www.google.com/maps/place/?q=place_id:ChIJVXRSR-hCzpQRFz_QuQ4qJcI
7,Churrascaria do Alemão,(11) 96087-8224,https://wa.me/5511960878224?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20trabalho%20com%20cria%C3%A7%C3%A3o%20de%20sites%20e%20card%C3%A1pios%20digitais%20para%20churrascarias.%0A%0AEstava%20no%20Google%20Maps%20e%20vi%20que%20a%20Churrascaria%20do%20Alem%C3%A3o%20tem%20uma%20excelente%20avalia%C3%A7%C3%A3o%20%284.2%20%E2%98%85%20com%201657%20avalia%C3%A7%C3%B5es%21%29%2C%20mas%20notei%20que%20voc%C3%AAs%20ainda%20n%C3%A3o%20possuem%20um%20site%20pr%C3%B3prio%20nem%20card%C3%A1pio%20interativo%20na%20bio%20do%20Instagram.%0A%0AHoje%20muitos%20clientes%20pesquisam%20no%20Google%20antes%20de%20sair%20para%20almo%C3%A7ar%20ou%20pedir%20delivery.%20Trabalho%20com%202%20op%C3%A7%C3%B5es%20bem%20pr%C3%A1ticas%20para%20restaurantes%3A%0A%0A1.%20%F0%9F%93%B1%20Card%C3%A1pio%20Digital%20no%20WhatsApp%20%28o%20cliente%20monta%20o%20pedido%20e%20envia%20pronto%20direto%20pro%20seu%20WhatsApp%20-%20op%C3%A7%C3%A3o%20mais%20econ%C3%B4mica%29.%0A2.%20%F0%9F%92%B3%20Site%20Completo%20com%20Pagamento%20Online%20%28o%20cliente%20faz%20o%20pedido%20e%20realiza%20o%20pagamento%20direto%20pelo%20site%29.%0A%0APosso%20te%20explicar%20rapidinho%20como%20funciona%20e%20te%20passar%20os%20valores%20sem%20compromisso%3F,"Av. Miguel Conejo, 854 - Vila Albertina, São Paulo - SP, 02731-060",Vila Albertina,São Paulo - SP,Churrascaria,4.2,1657,Não,https://www.google.com/maps/place/?q=place_id:ChIJu_oO0kv4zpQR3M1n9vGFJmA
8,Baixo Araguaia,(21) 97696-8984,https://wa.me/5521976968984?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20trabalho%20com%20cria%C3%A7%C3%A3o%20de%20sites%20e%20card%C3%A1pios%20digitais%20para%20churrascarias.%0A%0AEstava%20no%20Google%20Maps%20e%20vi%20que%20a%20Baixo%20Araguaia%20tem%20uma%20excelente%20avalia%C3%A7%C3%A3o%20%284.5%20%E2%98%85%20com%201633%20avalia%C3%A7%C3%B5es%21%29%2C%20mas%20notei%20que%20voc%C3%AAs%20ainda%20n%C3%A3o%20possuem%20um%20site%20pr%C3%B3prio%20nem%20card%C3%A1pio%20interativo%20na%20bio%20do%20Instagram.%0A%0AHoje%20muitos%20clientes%20pesquisam%20no%20Google%20antes%20de%20sair%20para%20almo%C3%A7ar%20ou%20pedir%20delivery.%20Trabalho%20com%202%20op%C3%A7%C3%B5es%20bem%20pr%C3%A1ticas%20para%20restaurantes%3A%0A%0A1.%20%F0%9F%93%B1%20Card%C3%A1pio%20Digital%20no%20WhatsApp%20%28o%20cliente%20monta%20o%20pedido%20e%20envia%20pronto%20direto%20pro%20seu%20WhatsApp%20-%20op%C3%A7%C3%A3o%20mais%20econ%C3%B4mica%29.%0A2.%20%F0%9F%92%B3%20Site%20Completo%20com%20Pagamento%20Online%20%28o%20cliente%20faz%20o%20pedido%20e%20realiza%20o%20pagamento%20direto%20pelo%20site%29.%0A%0APosso%20te%20explicar%20rapidinho%20como%20funciona%20e%20te%20passar%20os%20valores%20sem%20compromisso%3F,"R. Araguaia, 1709 - Freguesia (Jacarepaguá), Rio de Janeiro - RJ, 22745-271",Freguesia (Jacarepaguá),Rio de Janeiro - RJ,"Churrascaria, Bar, Restaurante, Restaurante de carne",4.5,1633,Não,https://www.google.com/maps/place/?q=place_id:ChIJ026jWSDYmwARWG-QiWV3-Xs
9,Churrascaria e Restaurante Itapuazinho,(14) 98232-1266,https://wa.me/5514982321266?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20trabalho%20com%20cria%C3%A7%C3%A3o%20de%20sites%20e%20card%C3%A1pios%20digitais%20para%20churrascarias.%0A%0AEstava%20no%20Google%20Maps%20e%20vi%20que%20a%20Churrascaria%20e%20Restaurante%20Itapuazinho%20tem%20uma%20excelente%20avalia%C3%A7%C3%A3o%20%284.6%20%E2%98%85%20com%201488%20avalia%C3%A7%C3%B5es%21%29%2C%20mas%20notei%20que%20voc%C3%AAs%20ainda%20n%C3%A3o%20possuem%20um%20site%20pr%C3%B3prio%20nem%20card%C3%A1pio%20interativo%20na%20bio%20do%20Instagram.%0A%0AHoje%20muitos%20clientes%20pesquisam%20no%20Google%20antes%20de%20sair%20para%20almo%C3%A7ar%20ou%20pedir%20delivery.%20Trabalho%20com%202%20op%C3%A7%C3%B5es%20bem%20pr%C3%A1ticas%20para%20restaurantes%3A%0A%0A1.%20%F0%9F%93%B1%20Card%C3%A1pio%20Digital%20no%20WhatsApp%20%28o%20cliente%20monta%20o%20pedido%20e%20envia%20pronto%20direto%20pro%20seu%20WhatsApp%20-%20op%C3%A7%C3%A3o%20mais%20econ%C3%B4mica%29.%0A2.%20%F0%9F%92%B3%20Site%20Completo%20com%20Pagamento%20Online%20%28o%20cliente%20faz%20o%20pedido%20e%20realiza%20o%20pagamento%20direto%20pelo%20site%29.%0A%0APosso%20te%20explicar%20rapidinho%20como%20funciona%20e%20te%20passar%20os%20valores%20sem%20compromisso%3F,"R. Benedito Alves Delfino, 222 - Jardim Sasazaki, Marília - SP, 17512-043",Jardim Sasazaki,Marília - SP,"Churrascaria, Negócio de produção de comida, Delivery, Restaurante de comida para viagem, Restaurante",4.6,1488,Não,https://www.google.com/maps/place/?q=place_id:ChIJUxlSW5rWv5QRNeiXGkrRG6E
10,Better Beef Steakhouse (Beef Company),(18) 99695-6711,https://wa.me/5518996956711?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20trabalho%20com%20cria%C3%A7%C3%A3o%20de%20sites%20e%20card%C3%A1pios%20digitais%20para%20churrascarias.%0A%0AEstava%20no%20Google%20Maps%20e%20vi%20que%20a%20Better%20Beef%20Steakhouse%20%28Beef%20Company%29%20tem%20uma%20excelente%20avalia%C3%A7%C3%A3o%20%284.7%20%E2%98%85%20com%201259%20avalia%C3%A7%C3%B5es%21%29%2C%20mas%20notei%20que%20voc%C3%AAs%20ainda%20n%C3%A3o%20possuem%20um%20site%20pr%C3%B3prio%20nem%20card%C3%A1pio%20interativo%20na%20bio%20do%20Instagram.%0A%0AHoje%20muitos%20clientes%20pesquisam%20no%20Google%20antes%20de%20sair%20para%20almo%C3%A7ar%20ou%20pedir%20delivery.%20Trabalho%20com%202%20op%C3%A7%C3%B5es%20bem%20pr%C3%A1ticas%20para%20restaurantes%3A%0A%0A1.%20%F0%9F%93%B1%20Card%C3%A1pio%20Digital%20no%20WhatsApp%20%28o%20cliente%20monta%20o%20pedido%20e%20envia%20pronto%20direto%20pro%20seu%20WhatsApp%20-%20op%C3%A7%C3%A3o%20mais%20econ%C3%B4mica%29.%0A2.%20%F0%9F%92%B3%20Site%20Completo%20com%20Pagamento%20Online%20%28o%20cliente%20faz%20o%20pedido%20e%20realiza%20o%20pagamento%20direto%20pelo%20site%29.%0A%0APosso%20te%20explicar%20rapidinho%20como%20funciona%20e%20te%20passar%20os%20valores%20sem%20compromisso%3F,"Av. Manoel Goulart, 3880 - Vila Santa Helena, Pres. Prudente - SP, 19060-000",Vila Santa Helena,Pres. Prudente - SP,Churrascaria,4.7,1259,Não,https://www.google.com/maps/place/?q=place_id:ChIJW7RSWRH1k5QRqc-UpXckKNo
