ID,Nome,WhatsApp,Link_Conversa_WhatsApp,Endereço,Bairro,Cidade_UF,Categoria,Nota_Google,Qtd_Avaliacoes,Possui_Site,Link_Google_Maps
1,Oral Vitta,(85) 99949-3145,https://wa.me/5585999493145?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"R. Arruda Câmara, 369 - Vila Peri, Fortaleza - CE, 60730-160",Vila Peri,Fortaleza - CE,"Clínica odontológica, Dentista, Periodontia e implantes dentários, Endodontista, Cirurgião dentista, Ortodontista, Odontopediatra, Clínica de odontopediatria, Periodontista",4.8,1813,Não,https://www.google.com/maps/place/?q=place_id:ChIJSzfk4jBMxwcRKYuK37f6t7o
2,Sorrismed - Clínica Médica e Odontológica,(48) 99661-2975,https://wa.me/5548996612975?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"Rod. Armando Calil Bulos, 6100 - Ingleses Norte, Florianópolis - SC, 88058-001",Ingleses Norte,Florianópolis - SC,"Dentista, Médico",5.0,679,Não,https://www.google.com/maps/place/?q=place_id:ChIJSSZPyeFKaGwRgLIP6CXehI0
3,"OdontoCompany Copacabana - Dentista Implante, Facetas, Canal.",(21) 96014-1022,https://wa.me/5521960141022?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"6, Rua Siqueira Campos, 53 - Copacabana, Rio de Janeiro - RJ, 22031-072",Copacabana,"Rua Siqueira Campos, 53 - Copacabana","Clínica odontológica, Periodontia e implantes dentários, Dentista, Cirurgião dentista, Ortodontista",4.7,593,Não,https://www.google.com/maps/place/?q=place_id:ChIJ8zv7mlrVmwARSbAw3L1jhxM
4,Vitta Odontologia Integrada,(61) 99269-6820,https://wa.me/5561992696820?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"scn quadra 02, bloco d 333/334 - Asa Norte, Brasília - DF, 70712-903",Asa Norte,bloco d 333/334 - Asa Norte,Dentista,5.0,591,Não,https://www.google.com/maps/place/?q=place_id:ChIJ__8jOQEwWpMRVGrQCFSTxkg
5,Toque Dental,(81) 99103-8596,https://wa.me/5581991038596?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"Av. Eng. Domingos Ferreira, 2391 - Boa Viagem, Recife - PE, 51020-031",Boa Viagem,Recife - PE,Clínica odontológica,5.0,532,Não,https://www.google.com/maps/place/?q=place_id:ChIJX2qdhd8fqwcRXr2rDXP_MrQ
6,DENTISTA 24HS/ Clínica odontológica/ Urgência odontológica/ dentista Florianópolis/ consultório odontológico.,(48) 98486-5576,https://wa.me/5548984865576?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"R. Bento Gonçalves, 183 - Centro, Florianópolis - SC, 88010-080",Centro,Florianópolis - SC,Clínica odontológica,5.0,429,Não,https://www.google.com/maps/place/?q=place_id:ChIJfbrE7NM5J5URhslIfOC5L_0
7,Barra Clínica Odontológica Urgência,(21) 99122-9709,https://wa.me/5521991229709?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"Próximo a Perinatal, no Dimension Office Park, bloco Lagoa 1 - Avenida Embaixador Abelardo Bueno, numero 1, sala 211, Rio de Janeiro - RJ, 22775-040",Barra Olímpica,Rio de Janeiro - RJ,"Clínica odontológica, Serviço dentário de emergência",4.9,393,Não,https://www.google.com/maps/place/?q=place_id:ChIJZTsLd5DbmwARGSJVwberRrE
8,SMARTODONTO,(62) 99382-3589,https://wa.me/5562993823589?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"Av. Afonso Pena, Qd 20 - Lt 22 - Vila Jardim São Judas Tadeu, Goiânia - GO, 74685-020",Vila Jardim São Judas Tadeu,Goiânia - GO,"Clínica odontológica, Dentista cosmético, Dentista, Ortodontista",5.0,389,Não,https://www.google.com/maps/place/?q=place_id:ChIJBTCJy-PzXpMRrgCGidKRUss
9,G.A.Odontologia® - Clínica Odontológica em Guarulhos,(11) 96390-7625,https://wa.me/5511963907625?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"R. José Pedro da Silva, 170 - Parque Continental II, Guarulhos - SP, 07084-300",Parque Continental II,Guarulhos - SP,Clínica odontológica,5.0,323,Não,https://www.google.com/maps/place/?q=place_id:ChIJ3zFIjFH1zpQRGKSw92RUoyk
10,Clinisul,(61) 99949-0274,https://wa.me/5561999490274?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"SGAS II St. de Grandes Áreas Sul 616 - Asa Sul, Brasília - DF, 70200-760",Asa Sul,Brasília - DF,Clínica odontológica,4.8,294,Não,https://www.google.com/maps/place/?q=place_id:ChIJUY87eYslWpMRxFtk_t93KEw
11,Clínica Brasil Sorriso - Gonzaga,(13) 99653-3064,https://wa.me/5513996533064?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"Av. Mal. Floriano Peixoto, 41 - Gonzaga, Santos - SP, 11060-301",Gonzaga,Santos - SP,"Dentista, Clínica odontológica, Cirurgião dentista",4.9,263,Não,https://www.google.com/maps/place/?q=place_id:ChIJg9I8uhoDzpQRseuVFxY1tHU
12,Clínica Adente,(71) 99323-0358,https://wa.me/5571993230358?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"Condomínio Edifício Fernandez - Av. Sete de Setembro, 302 - Sala 406 a 410, 4° andar - Centro, Salvador - BA, 40020-455",Centro,Salvador - BA,Clínica odontológica,4.9,254,Não,https://www.google.com/maps/place/?q=place_id:ChIJkSeNUP4FFgcRMpcop_kgNIU
13,OdontoCompany Niterói,(21) 97222-0363,https://wa.me/5521972220363?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"R. São João, 42 - Centro, Niterói - RJ, 24020-040",Centro,Niterói - RJ,"Clínica odontológica, Periodontia e implantes dentários, Dentista, Ortodontista",3.8,251,Não,https://www.google.com/maps/place/?q=place_id:ChIJn9jnn8aDmQARfbjdb_auwgQ
14,Clínica Ayra Estética Orofacial,(71) 99103-8527,https://wa.me/5571991038527?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"Clínica Ayra, Ed. Max Center - Av. Antônio Carlos Magalhães, 846 - 1° andar, Sala 115 - Itaigara, Salvador - BA, 40210-755",Itaigara,Salvador - BA,"Clínica odontológica, Endodontista, Odontopediatra, Cirurgião",4.9,246,Não,https://www.google.com/maps/place/?q=place_id:ChIJ6SdSOo8FFgcR868aeccvOGo
15,Fialho Odontologia,(31) 98426-7230,https://wa.me/5531984267230?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"Av. Getúlio Vargas, 874 - Sl 1603 - Savassi, Belo Horizonte - MG, 30112-020",Savassi,Belo Horizonte - MG,Dentista,5.0,244,Não,https://www.google.com/maps/place/?q=place_id:ChIJnzYpp2mZpgARfIobHXKcdsI
16,Aria Clínica de Odontologia Avançada,(47) 98914-3119,https://wa.me/5547989143119?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"R. Inambu, 2949 - Costa e Silva, Joinville - SC, 89220-002",Costa e Silva,Joinville - SC,Clínica odontológica,4.9,242,Não,https://www.google.com/maps/place/?q=place_id:ChIJlxd8te6l3pQRVA_rSMoEuXw
17,Dentarth Núcleo de Saúde Integrada,(11) 96096-9321,https://wa.me/5511960969321?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"R. Frei Gaspar, 941 - Sl 405 - Assunção, São Bernardo do Campo - SP, 09720-440",Assunção,São Bernardo do Campo - SP,"Clínica odontológica, Dentista cosmético, Dentista, Cirurgião dentista",4.9,240,Não,https://www.google.com/maps/place/?q=place_id:ChIJEcoA9mZBzpQR_b0hVfKTmEE
18,OdontoCompany,(61) 99249-5272,https://wa.me/5561992495272?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"Setor Comercial Sul Bloco C Quadra 2 Loja 74 - Asa Sul, Brasília - DF, 70302-907",Asa Sul,Brasília - DF,Clínica odontológica,4.0,238,Não,https://www.google.com/maps/place/?q=place_id:ChIJN672Nuc6WpMRElorxUDwMu4
19,Sorridente,(71) 98107-8217,https://wa.me/5571981078217?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"PITUBA PARQUE CENTER - Itaigara, Salvador - BA, 41815-200",Itaigara,Salvador - BA,Clínica odontológica,4.3,200,Não,https://www.google.com/maps/place/?q=place_id:ChIJycSYM1wbFgcRISTiA1jFM4w
20,CARAS - Centro Clínico de Odontologia,(61) 99224-4153,https://wa.me/5561992244153?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"Centro Empresarial Norte - SRTVN Quadra 701 Conj C, loja Térreo 218 - Asa Norte, Brasília - DF, 70719-903",Asa Norte,Centro Empresarial Norte - SR,"Clínica odontológica, Dentista, Periodontia e implantes dentários, Cirurgião dentista, Ortodontista",4.9,197,Não,https://www.google.com/maps/place/?q=place_id:ChIJQfH_WeU7WpMRdrwIrI2DNXg
