ID,Nome,WhatsApp,Link_Conversa_WhatsApp,Endereço,Bairro,Cidade_UF,Categoria,Nota_Google,Qtd_Avaliacoes,Possui_Site,Link_Google_Maps
1,Connect Energia Solar SJCampos,(12) 99676-1979,https://wa.me/5512996761979?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"R. Nelson Cesar de Oliveira, 134 - Sl 14 - Jardim das Industrias, São José dos Campos - SP, 12240-220",Jardim das Industrias,São José dos Campos - SP,"Fornecedor de equipamentos a energia solar, Instalador de estação de recarga para veículos elétricos, Serviço de instalação elétrica, Equipamentos e soluções de energia, Fornecedor de energia verde, Empresa de energia solar, Serviço de energia solar, Serviço de manutenção de painéis solares",5.0,106,Não,https://www.google.com/maps/place/?q=place_id:ChIJJZigYN01zJQRRkxjaPqkaTI
2,"ABP SOLAR | Energia Solar em São José dos Campos, Vale do Paraíba e São Paulo",(12) 99186-3714,https://wa.me/5512991863714?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"R. Dr. Orlando Feirabend Filho, 230 - Sl C1512 - Parque Res. Aquarius, São José dos Campos - SP, 12246-190",Parque Residencial Aquarius,São José dos Campos - SP,Empresa de energia solar,4.9,98,Não,https://www.google.com/maps/place/?q=place_id:ChIJL85AQgA1zJQReLcF789D-IY
3,Elektroservice | Energia Solar,(75) 99865-4001,https://wa.me/5575998654001?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"R. Cel. José Pinto dos Santos, 1.101 - Loja 1.101 A - São João, Feira de Santana - BA, 44051-400",São João,Feira de Santana - BA,Fornecedor de equipamentos a energia solar,5.0,96,Não,https://www.google.com/maps/place/?q=place_id:ChIJey3YuBo5FAcR20IyZrhl_U0
4,Caxias Solar Power,(54) 99958-6728,https://wa.me/5554999586728?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"R. Teixeira Mendes, 1186 - Cinquentenário, Caxias do Sul - RS, 95034-150",Cinquentenário,Caxias do Sul - RS,"Fornecedor de equipamentos a energia solar, Engenheiro eletricista",5.0,82,Não,https://www.google.com/maps/place/?q=place_id:ChIJWcc01leouS8RUJ_vR3aMUaU
5,RM SOLAR CUIABA MATO GROSSO - ENERGIA SOLAR CUIABA MT,(65) 99219-7836,https://wa.me/5565992197836?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"Santa Rosa TowerJardim Mariana, Avenida Miguel Sutil, 8000, Santa Rosa - Jardim Mariana, Cuiabá - MT, 78040-400",Jardim Mariana,Cuiabá - MT,Empresa de energia solar,5.0,82,Não,https://www.google.com/maps/place/?q=place_id:ChIJwVPzJjCvnZMR7a9RwCCMpXQ
6,Sultec Energia Solar,(54) 99641-7734,https://wa.me/5554996417734?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"Rua Irmão Bonifacio, 183 - Sagrada Familia, Caxias do Sul - RS, 95052-330",Sagrada Familia,Caxias do Sul - RS,"Empresa de energia solar, Serviço de energia solar, Usina solar fotovoltaica",4.9,69,Não,https://www.google.com/maps/place/?q=place_id:ChIJNz-ly86ZHpURF3pKxvVy9HI
7,Brilho Sollar Energia Solar Campinas,(19) 99441-7252,https://wa.me/5519994417252?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"R. Joaquim Lacerda Coelho, 233 - Jardim Yeda, Campinas - SP, 13060-650",Jardim Yeda,Campinas - SP,"Empresa de energia solar, Serviço de energia solar",4.9,68,Não,https://www.google.com/maps/place/?q=place_id:ChIJv3BQiBvJyJQRFua9BOHyeGg
8,Solaris Energia Solar,(54) 99219-1448,https://wa.me/5554992191448?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"Av. Per. Bruno Segalla, 10868 - Rio Branco, Caxias do Sul - RS, 95096-112",Rio Branco,Caxias do Sul - RS,"Fornecedor de equipamentos a energia solar, Empresa de energia solar",5.0,38,Não,https://www.google.com/maps/place/?q=place_id:ChIJl8afRB69HpUReCA8o9Pt7ws
9,Kw Solar Energia Fotovoltaica,(12) 99679-8868,https://wa.me/5512996798868?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"Rua Jesus Garcia, 112 - Jardim Alvorada, São José dos Campos - SP, 12240-420",Jardim Alvorada,São José dos Campos - SP,Fornecedor de equipamentos a energia solar,4.9,37,Não,https://www.google.com/maps/place/?q=place_id:ChIJFQf-DXQ1zJQRokAwmvO6Omw
10,ÍMPAR - Energia Solar em Campo Grande Ms,(67) 99254-5223,https://wa.me/5567992545223?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"R. Bom Sucesso, 1317 - Vila Marcos Roberto, Campo Grande - MS, 79080-280",Vila Marcos Roberto,Campo Grande - MS,"Fornecedor de equipamentos a energia solar, Empresa de energia solar, Serviço de energia solar",5.0,37,Não,https://www.google.com/maps/place/?q=place_id:ChIJk5cYswt0yWARp1MaY1mYu4Y
