ID,Nome,WhatsApp,Link_Conversa_WhatsApp,Endereço,Bairro,Cidade_UF,Categoria,Nota_Google,Qtd_Avaliacoes,Possui_Site,Link_Google_Maps
1,Estética Danielle Bocchi | Curitiba,(41) 99758-1018,https://wa.me/5541997581018?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20trabalho%20com%20cria%C3%A7%C3%A3o%20de%20sites%20e%20sistemas%20de%20agendamento%20para%20sal%C3%B5es%20e%20cl%C3%ADnicas%20de%20est%C3%A9tica.%0A%0AEstava%20no%20Google%20Maps%20e%20vi%20que%20a%20Est%C3%A9tica%20Danielle%20Bocchi%20%7C%20Curitiba%20tem%20uma%20excelente%20avalia%C3%A7%C3%A3o%20%285.0%20%E2%98%85%20com%20513%20avalia%C3%A7%C3%B5es%21%29%2C%20mas%20notei%20que%20voc%C3%AAs%20ainda%20n%C3%A3o%20possuem%20um%20site%20pr%C3%B3prio%20nem%20link%20de%20agendamento%20na%20bio%20do%20Instagram.%0A%0AHoje%20muitas%20clientes%20pesquisam%20no%20Google%20antes%20de%20agendar%20procedimentos%20ou%20tratamentos.%20Trabalho%20com%202%20op%C3%A7%C3%B5es%20bem%20pr%C3%A1ticas%20para%20est%C3%A9tica%3A%0A%0A1.%20%F0%9F%93%B1%20Cat%C3%A1logo%20de%20Servi%C3%A7os%20no%20WhatsApp%20%28a%20cliente%20escolhe%20o%20procedimento%20e%20j%C3%A1%20envia%20a%20solicita%C3%A7%C3%A3o%20de%20hor%C3%A1rio%20pronta%20direto%20pro%20seu%20WhatsApp%20-%20op%C3%A7%C3%A3o%20mais%20econ%C3%B4mica%29.%0A2.%20%F0%9F%92%B3%20Site%20Completo%20com%20Agendamento%20e%20Pagamento%20Online%20%28a%20cliente%20escolhe%20o%20servi%C3%A7o%2C%20data/hor%C3%A1rio%20na%20agenda%20e%20realiza%20o%20pagamento%20da%20reserva%20direto%20pelo%20site%29.%0A%0APosso%20te%20explicar%20rapidinho%20como%20funciona%20e%20te%20passar%20os%20valores%20sem%20compromisso%3F,"Av. Cândido de Abreu, 140 - Sl 706 - Centro Cívico, Curitiba - PR, 80530-000",Centro Cívico,Curitiba - PR,"Centro de saúde e beleza, Salão de Beleza",5.0,513,Não,https://www.google.com/maps/place/?q=place_id:ChIJo8WK1KPl3JQRuz4cM3rA_m8
2,Clínica de Estética Salomão,(11) 99934-9773,https://wa.me/5511999349773?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20trabalho%20com%20cria%C3%A7%C3%A3o%20de%20sites%20e%20sistemas%20de%20agendamento%20para%20sal%C3%B5es%20e%20cl%C3%ADnicas%20de%20est%C3%A9tica.%0A%0AEstava%20no%20Google%20Maps%20e%20vi%20que%20a%20Cl%C3%ADnica%20de%20Est%C3%A9tica%20Salom%C3%A3o%20tem%20uma%20excelente%20avalia%C3%A7%C3%A3o%20%284.9%20%E2%98%85%20com%20512%20avalia%C3%A7%C3%B5es%21%29%2C%20mas%20notei%20que%20voc%C3%AAs%20ainda%20n%C3%A3o%20possuem%20um%20site%20pr%C3%B3prio%20nem%20link%20de%20agendamento%20na%20bio%20do%20Instagram.%0A%0AHoje%20muitas%20clientes%20pesquisam%20no%20Google%20antes%20de%20agendar%20procedimentos%20ou%20tratamentos.%20Trabalho%20com%202%20op%C3%A7%C3%B5es%20bem%20pr%C3%A1ticas%20para%20est%C3%A9tica%3A%0A%0A1.%20%F0%9F%93%B1%20Cat%C3%A1logo%20de%20Servi%C3%A7os%20no%20WhatsApp%20%28a%20cliente%20escolhe%20o%20procedimento%20e%20j%C3%A1%20envia%20a%20solicita%C3%A7%C3%A3o%20de%20hor%C3%A1rio%20pronta%20direto%20pro%20seu%20WhatsApp%20-%20op%C3%A7%C3%A3o%20mais%20econ%C3%B4mica%29.%0A2.%20%F0%9F%92%B3%20Site%20Completo%20com%20Agendamento%20e%20Pagamento%20Online%20%28a%20cliente%20escolhe%20o%20servi%C3%A7o%2C%20data/hor%C3%A1rio%20na%20agenda%20e%20realiza%20o%20pagamento%20da%20reserva%20direto%20pelo%20site%29.%0A%0APosso%20te%20explicar%20rapidinho%20como%20funciona%20e%20te%20passar%20os%20valores%20sem%20compromisso%3F,"Av. Paulista, 2006 - 3 Andar Cj. 306 - Cerqueira César, São Paulo - SP, 01310-200",Cerqueira César,São Paulo - SP,Centro de saúde e beleza,4.9,512,Não,https://www.google.com/maps/place/?q=place_id:ChIJOyf4TqdZzpQRHVv1f2wyBFM
3,Estética Valqueire,(21) 97385-7337,https://wa.me/5521973857337?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20trabalho%20com%20cria%C3%A7%C3%A3o%20de%20sites%20e%20sistemas%20de%20agendamento%20para%20sal%C3%B5es%20e%20cl%C3%ADnicas%20de%20est%C3%A9tica.%0A%0AEstava%20no%20Google%20Maps%20e%20vi%20que%20a%20Est%C3%A9tica%20Valqueire%20tem%20uma%20excelente%20avalia%C3%A7%C3%A3o%20%285.0%20%E2%98%85%20com%20430%20avalia%C3%A7%C3%B5es%21%29%2C%20mas%20notei%20que%20voc%C3%AAs%20ainda%20n%C3%A3o%20possuem%20um%20site%20pr%C3%B3prio%20nem%20link%20de%20agendamento%20na%20bio%20do%20Instagram.%0A%0AHoje%20muitas%20clientes%20pesquisam%20no%20Google%20antes%20de%20agendar%20procedimentos%20ou%20tratamentos.%20Trabalho%20com%202%20op%C3%A7%C3%B5es%20bem%20pr%C3%A1ticas%20para%20est%C3%A9tica%3A%0A%0A1.%20%F0%9F%93%B1%20Cat%C3%A1logo%20de%20Servi%C3%A7os%20no%20WhatsApp%20%28a%20cliente%20escolhe%20o%20procedimento%20e%20j%C3%A1%20envia%20a%20solicita%C3%A7%C3%A3o%20de%20hor%C3%A1rio%20pronta%20direto%20pro%20seu%20WhatsApp%20-%20op%C3%A7%C3%A3o%20mais%20econ%C3%B4mica%29.%0A2.%20%F0%9F%92%B3%20Site%20Completo%20com%20Agendamento%20e%20Pagamento%20Online%20%28a%20cliente%20escolhe%20o%20servi%C3%A7o%2C%20data/hor%C3%A1rio%20na%20agenda%20e%20realiza%20o%20pagamento%20da%20reserva%20direto%20pelo%20site%29.%0A%0APosso%20te%20explicar%20rapidinho%20como%20funciona%20e%20te%20passar%20os%20valores%20sem%20compromisso%3F,"R. das Rosas, 37 - Vila Valqueire, Rio de Janeiro - RJ, 21330-680",Vila Valqueire,Rio de Janeiro - RJ,"Esteticista, Centro de bem-estar",5.0,430,Não,https://www.google.com/maps/place/?q=place_id:ChIJAXU4EvRimQARqbmGZ1hD3fQ
4,Encant Estética,(11) 95071-4424,https://wa.me/5511950714424?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20trabalho%20com%20cria%C3%A7%C3%A3o%20de%20sites%20e%20sistemas%20de%20agendamento%20para%20sal%C3%B5es%20e%20cl%C3%ADnicas%20de%20est%C3%A9tica.%0A%0AEstava%20no%20Google%20Maps%20e%20vi%20que%20a%20Encant%20Est%C3%A9tica%20tem%20uma%20excelente%20avalia%C3%A7%C3%A3o%20%285.0%20%E2%98%85%20com%20350%20avalia%C3%A7%C3%B5es%21%29%2C%20mas%20notei%20que%20voc%C3%AAs%20ainda%20n%C3%A3o%20possuem%20um%20site%20pr%C3%B3prio%20nem%20link%20de%20agendamento%20na%20bio%20do%20Instagram.%0A%0AHoje%20muitas%20clientes%20pesquisam%20no%20Google%20antes%20de%20agendar%20procedimentos%20ou%20tratamentos.%20Trabalho%20com%202%20op%C3%A7%C3%B5es%20bem%20pr%C3%A1ticas%20para%20est%C3%A9tica%3A%0A%0A1.%20%F0%9F%93%B1%20Cat%C3%A1logo%20de%20Servi%C3%A7os%20no%20WhatsApp%20%28a%20cliente%20escolhe%20o%20procedimento%20e%20j%C3%A1%20envia%20a%20solicita%C3%A7%C3%A3o%20de%20hor%C3%A1rio%20pronta%20direto%20pro%20seu%20WhatsApp%20-%20op%C3%A7%C3%A3o%20mais%20econ%C3%B4mica%29.%0A2.%20%F0%9F%92%B3%20Site%20Completo%20com%20Agendamento%20e%20Pagamento%20Online%20%28a%20cliente%20escolhe%20o%20servi%C3%A7o%2C%20data/hor%C3%A1rio%20na%20agenda%20e%20realiza%20o%20pagamento%20da%20reserva%20direto%20pelo%20site%29.%0A%0APosso%20te%20explicar%20rapidinho%20como%20funciona%20e%20te%20passar%20os%20valores%20sem%20compromisso%3F,"R. das Paineiras, 28 - Jardim, Santo André - SP, 09070-220",Jardim,Santo André - SP,"Centro de saúde e beleza, Esteticista, Salão de Beleza, Spa facial",5.0,350,Não,https://www.google.com/maps/place/?q=place_id:ChIJXeA6m4RDzpQRjWBCQ5p2GGg
5,Instituto Dra Leticia Laccava,(11) 94014-7025,https://wa.me/5511940147025?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20trabalho%20com%20cria%C3%A7%C3%A3o%20de%20sites%20e%20sistemas%20de%20agendamento%20para%20sal%C3%B5es%20e%20cl%C3%ADnicas%20de%20est%C3%A9tica.%0A%0AEstava%20no%20Google%20Maps%20e%20vi%20que%20a%20Instituto%20Dra%20Leticia%20Laccava%20tem%20uma%20excelente%20avalia%C3%A7%C3%A3o%20%284.9%20%E2%98%85%20com%20309%20avalia%C3%A7%C3%B5es%21%29%2C%20mas%20notei%20que%20voc%C3%AAs%20ainda%20n%C3%A3o%20possuem%20um%20site%20pr%C3%B3prio%20nem%20link%20de%20agendamento%20na%20bio%20do%20Instagram.%0A%0AHoje%20muitas%20clientes%20pesquisam%20no%20Google%20antes%20de%20agendar%20procedimentos%20ou%20tratamentos.%20Trabalho%20com%202%20op%C3%A7%C3%B5es%20bem%20pr%C3%A1ticas%20para%20est%C3%A9tica%3A%0A%0A1.%20%F0%9F%93%B1%20Cat%C3%A1logo%20de%20Servi%C3%A7os%20no%20WhatsApp%20%28a%20cliente%20escolhe%20o%20procedimento%20e%20j%C3%A1%20envia%20a%20solicita%C3%A7%C3%A3o%20de%20hor%C3%A1rio%20pronta%20direto%20pro%20seu%20WhatsApp%20-%20op%C3%A7%C3%A3o%20mais%20econ%C3%B4mica%29.%0A2.%20%F0%9F%92%B3%20Site%20Completo%20com%20Agendamento%20e%20Pagamento%20Online%20%28a%20cliente%20escolhe%20o%20servi%C3%A7o%2C%20data/hor%C3%A1rio%20na%20agenda%20e%20realiza%20o%20pagamento%20da%20reserva%20direto%20pelo%20site%29.%0A%0APosso%20te%20explicar%20rapidinho%20como%20funciona%20e%20te%20passar%20os%20valores%20sem%20compromisso%3F,"Helbor Patteo Bosque Maia - Av. Paulo Faccini, 939 - 14° andar sala 1406/1407 - Centro, Guarulhos - SP, 07024-001",Centro,Guarulhos - SP,Centro de saúde e beleza,4.9,309,Não,https://www.google.com/maps/place/?q=place_id:ChIJAQBAnET1zpQRvFO04WZtAEo
6,"Clínica de Estética Harmony - Endolaser, Harmonização Corporal, Tratamento Para Celulite e Flacidez",(11) 97628-4485,https://wa.me/5511976284485?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20trabalho%20com%20cria%C3%A7%C3%A3o%20de%20sites%20e%20sistemas%20de%20agendamento%20para%20sal%C3%B5es%20e%20cl%C3%ADnicas%20de%20est%C3%A9tica.%0A%0AEstava%20no%20Google%20Maps%20e%20vi%20que%20a%20Cl%C3%ADnica%20de%20Est%C3%A9tica%20Harmony%20-%20Endolaser%2C%20Harmoniza%C3%A7%C3%A3o%20Corporal%2C%20Tratamento%20Para%20Celulite%20e%20Flacidez%20tem%20uma%20excelente%20avalia%C3%A7%C3%A3o%20%284.7%20%E2%98%85%20com%20263%20avalia%C3%A7%C3%B5es%21%29%2C%20mas%20notei%20que%20voc%C3%AAs%20ainda%20n%C3%A3o%20possuem%20um%20site%20pr%C3%B3prio%20nem%20link%20de%20agendamento%20na%20bio%20do%20Instagram.%0A%0AHoje%20muitas%20clientes%20pesquisam%20no%20Google%20antes%20de%20agendar%20procedimentos%20ou%20tratamentos.%20Trabalho%20com%202%20op%C3%A7%C3%B5es%20bem%20pr%C3%A1ticas%20para%20est%C3%A9tica%3A%0A%0A1.%20%F0%9F%93%B1%20Cat%C3%A1logo%20de%20Servi%C3%A7os%20no%20WhatsApp%20%28a%20cliente%20escolhe%20o%20procedimento%20e%20j%C3%A1%20envia%20a%20solicita%C3%A7%C3%A3o%20de%20hor%C3%A1rio%20pronta%20direto%20pro%20seu%20WhatsApp%20-%20op%C3%A7%C3%A3o%20mais%20econ%C3%B4mica%29.%0A2.%20%F0%9F%92%B3%20Site%20Completo%20com%20Agendamento%20e%20Pagamento%20Online%20%28a%20cliente%20escolhe%20o%20servi%C3%A7o%2C%20data/hor%C3%A1rio%20na%20agenda%20e%20realiza%20o%20pagamento%20da%20reserva%20direto%20pelo%20site%29.%0A%0APosso%20te%20explicar%20rapidinho%20como%20funciona%20e%20te%20passar%20os%20valores%20sem%20compromisso%3F,"Alameda Iraé, 302 - Moema, São Paulo - SP, 04075-000",Moema,São Paulo - SP,"Centro de saúde e beleza, Esteticista",4.7,263,Não,https://www.google.com/maps/place/?q=place_id:ChIJBbFhy2BbzpQRV9jefFnnero
7,Studio Robson Motta,(21) 98996-4612,https://wa.me/5521989964612?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20trabalho%20com%20cria%C3%A7%C3%A3o%20de%20sites%20e%20sistemas%20de%20agendamento%20para%20sal%C3%B5es%20e%20cl%C3%ADnicas%20de%20est%C3%A9tica.%0A%0AEstava%20no%20Google%20Maps%20e%20vi%20que%20a%20Studio%20Robson%20Motta%20tem%20uma%20excelente%20avalia%C3%A7%C3%A3o%20%284.7%20%E2%98%85%20com%20243%20avalia%C3%A7%C3%B5es%21%29%2C%20mas%20notei%20que%20voc%C3%AAs%20ainda%20n%C3%A3o%20possuem%20um%20site%20pr%C3%B3prio%20nem%20link%20de%20agendamento%20na%20bio%20do%20Instagram.%0A%0AHoje%20muitas%20clientes%20pesquisam%20no%20Google%20antes%20de%20agendar%20procedimentos%20ou%20tratamentos.%20Trabalho%20com%202%20op%C3%A7%C3%B5es%20bem%20pr%C3%A1ticas%20para%20est%C3%A9tica%3A%0A%0A1.%20%F0%9F%93%B1%20Cat%C3%A1logo%20de%20Servi%C3%A7os%20no%20WhatsApp%20%28a%20cliente%20escolhe%20o%20procedimento%20e%20j%C3%A1%20envia%20a%20solicita%C3%A7%C3%A3o%20de%20hor%C3%A1rio%20pronta%20direto%20pro%20seu%20WhatsApp%20-%20op%C3%A7%C3%A3o%20mais%20econ%C3%B4mica%29.%0A2.%20%F0%9F%92%B3%20Site%20Completo%20com%20Agendamento%20e%20Pagamento%20Online%20%28a%20cliente%20escolhe%20o%20servi%C3%A7o%2C%20data/hor%C3%A1rio%20na%20agenda%20e%20realiza%20o%20pagamento%20da%20reserva%20direto%20pelo%20site%29.%0A%0APosso%20te%20explicar%20rapidinho%20como%20funciona%20e%20te%20passar%20os%20valores%20sem%20compromisso%3F,"Av: Treze de maio, 47 - Sl 203 - Centro, Rio de Janeiro - RJ, 20031-007",Centro,Rio de Janeiro - RJ,Salão de Beleza,4.7,243,Não,https://www.google.com/maps/place/?q=place_id:ChIJjYdBHmF_mQAR7snYirSByu4
8,Karina Uieti Estética,(11) 99926-4259,https://wa.me/5511999264259?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20trabalho%20com%20cria%C3%A7%C3%A3o%20de%20sites%20e%20sistemas%20de%20agendamento%20para%20sal%C3%B5es%20e%20cl%C3%ADnicas%20de%20est%C3%A9tica.%0A%0AEstava%20no%20Google%20Maps%20e%20vi%20que%20a%20Karina%20Uieti%20Est%C3%A9tica%20tem%20uma%20excelente%20avalia%C3%A7%C3%A3o%20%285.0%20%E2%98%85%20com%20235%20avalia%C3%A7%C3%B5es%21%29%2C%20mas%20notei%20que%20voc%C3%AAs%20ainda%20n%C3%A3o%20possuem%20um%20site%20pr%C3%B3prio%20nem%20link%20de%20agendamento%20na%20bio%20do%20Instagram.%0A%0AHoje%20muitas%20clientes%20pesquisam%20no%20Google%20antes%20de%20agendar%20procedimentos%20ou%20tratamentos.%20Trabalho%20com%202%20op%C3%A7%C3%B5es%20bem%20pr%C3%A1ticas%20para%20est%C3%A9tica%3A%0A%0A1.%20%F0%9F%93%B1%20Cat%C3%A1logo%20de%20Servi%C3%A7os%20no%20WhatsApp%20%28a%20cliente%20escolhe%20o%20procedimento%20e%20j%C3%A1%20envia%20a%20solicita%C3%A7%C3%A3o%20de%20hor%C3%A1rio%20pronta%20direto%20pro%20seu%20WhatsApp%20-%20op%C3%A7%C3%A3o%20mais%20econ%C3%B4mica%29.%0A2.%20%F0%9F%92%B3%20Site%20Completo%20com%20Agendamento%20e%20Pagamento%20Online%20%28a%20cliente%20escolhe%20o%20servi%C3%A7o%2C%20data/hor%C3%A1rio%20na%20agenda%20e%20realiza%20o%20pagamento%20da%20reserva%20direto%20pelo%20site%29.%0A%0APosso%20te%20explicar%20rapidinho%20como%20funciona%20e%20te%20passar%20os%20valores%20sem%20compromisso%3F,"Alameda Afonso Schmidt, 170 - Sl 6 - Santana, São Paulo - SP, 02018-012",Santana,São Paulo - SP,"Centro de saúde e beleza, Spa facial, Centro de massagem",5.0,235,Não,https://www.google.com/maps/place/?q=place_id:ChIJLS2o-qf3zpQRQ4BQEP-SXzs
9,Clínica de Estética,(41) 99225-2552,https://wa.me/5541992252552?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20trabalho%20com%20cria%C3%A7%C3%A3o%20de%20sites%20e%20sistemas%20de%20agendamento%20para%20sal%C3%B5es%20e%20cl%C3%ADnicas%20de%20est%C3%A9tica.%0A%0AEstava%20no%20Google%20Maps%20e%20vi%20que%20a%20Cl%C3%ADnica%20de%20Est%C3%A9tica%20tem%20uma%20excelente%20avalia%C3%A7%C3%A3o%20%284.9%20%E2%98%85%20com%20234%20avalia%C3%A7%C3%B5es%21%29%2C%20mas%20notei%20que%20voc%C3%AAs%20ainda%20n%C3%A3o%20possuem%20um%20site%20pr%C3%B3prio%20nem%20link%20de%20agendamento%20na%20bio%20do%20Instagram.%0A%0AHoje%20muitas%20clientes%20pesquisam%20no%20Google%20antes%20de%20agendar%20procedimentos%20ou%20tratamentos.%20Trabalho%20com%202%20op%C3%A7%C3%B5es%20bem%20pr%C3%A1ticas%20para%20est%C3%A9tica%3A%0A%0A1.%20%F0%9F%93%B1%20Cat%C3%A1logo%20de%20Servi%C3%A7os%20no%20WhatsApp%20%28a%20cliente%20escolhe%20o%20procedimento%20e%20j%C3%A1%20envia%20a%20solicita%C3%A7%C3%A3o%20de%20hor%C3%A1rio%20pronta%20direto%20pro%20seu%20WhatsApp%20-%20op%C3%A7%C3%A3o%20mais%20econ%C3%B4mica%29.%0A2.%20%F0%9F%92%B3%20Site%20Completo%20com%20Agendamento%20e%20Pagamento%20Online%20%28a%20cliente%20escolhe%20o%20servi%C3%A7o%2C%20data/hor%C3%A1rio%20na%20agenda%20e%20realiza%20o%20pagamento%20da%20reserva%20direto%20pelo%20site%29.%0A%0APosso%20te%20explicar%20rapidinho%20como%20funciona%20e%20te%20passar%20os%20valores%20sem%20compromisso%3F,"Av. Rep. Argentina, 1336 - Vila Izabel, Curitiba - PR, 80620-010",Vila Izabel,Curitiba - PR,Clínica especializada,4.9,234,Não,https://www.google.com/maps/place/?q=place_id:ChIJWT6Tsbrj3JQRTTfko_-89xo
10,Clínica de Biomedicina Estética Cris Viana - São Bernardo do Campo,(11) 96966-9367,https://wa.me/5511969669367?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20trabalho%20com%20cria%C3%A7%C3%A3o%20de%20sites%20e%20sistemas%20de%20agendamento%20para%20sal%C3%B5es%20e%20cl%C3%ADnicas%20de%20est%C3%A9tica.%0A%0AEstava%20no%20Google%20Maps%20e%20vi%20que%20a%20Cl%C3%ADnica%20de%20Biomedicina%20Est%C3%A9tica%20Cris%20Viana%20-%20S%C3%A3o%20Bernardo%20do%20Campo%20tem%20uma%20excelente%20avalia%C3%A7%C3%A3o%20%285.0%20%E2%98%85%20com%20231%20avalia%C3%A7%C3%B5es%21%29%2C%20mas%20notei%20que%20voc%C3%AAs%20ainda%20n%C3%A3o%20possuem%20um%20site%20pr%C3%B3prio%20nem%20link%20de%20agendamento%20na%20bio%20do%20Instagram.%0A%0AHoje%20muitas%20clientes%20pesquisam%20no%20Google%20antes%20de%20agendar%20procedimentos%20ou%20tratamentos.%20Trabalho%20com%202%20op%C3%A7%C3%B5es%20bem%20pr%C3%A1ticas%20para%20est%C3%A9tica%3A%0A%0A1.%20%F0%9F%93%B1%20Cat%C3%A1logo%20de%20Servi%C3%A7os%20no%20WhatsApp%20%28a%20cliente%20escolhe%20o%20procedimento%20e%20j%C3%A1%20envia%20a%20solicita%C3%A7%C3%A3o%20de%20hor%C3%A1rio%20pronta%20direto%20pro%20seu%20WhatsApp%20-%20op%C3%A7%C3%A3o%20mais%20econ%C3%B4mica%29.%0A2.%20%F0%9F%92%B3%20Site%20Completo%20com%20Agendamento%20e%20Pagamento%20Online%20%28a%20cliente%20escolhe%20o%20servi%C3%A7o%2C%20data/hor%C3%A1rio%20na%20agenda%20e%20realiza%20o%20pagamento%20da%20reserva%20direto%20pelo%20site%29.%0A%0APosso%20te%20explicar%20rapidinho%20como%20funciona%20e%20te%20passar%20os%20valores%20sem%20compromisso%3F,"R. Nigéria, 133 - Sala 12 - Taboão, São Bernardo do Campo - SP, 09671-040",Taboão,São Bernardo do Campo - SP,"Centro de saúde e beleza, Esteticista, Clínica de dermatologia",5.0,231,Não,https://www.google.com/maps/place/?q=place_id:ChIJsZPmkttFzpQRZRUrl4J--Js
