ID,Nome,WhatsApp,Link_Conversa_WhatsApp,Endereço,Bairro,Cidade_UF,Categoria,Nota_Google,Qtd_Avaliacoes,Possui_Site,Link_Google_Maps
1,Roberta Almeida Espaço da Beleza,(15) 99635-2165,https://wa.me/5515996352165?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"Av. Mario Campolim, 230 - Parque Campolim, Sorocaba - SP, 18047-650",Parque Campolim,Sorocaba - SP,"Salão de Beleza, Salão de sobrancelhas, Cabeleireiro, Centro de saúde e beleza, Manicure",4.9,1049,Não,https://www.google.com/maps/place/?q=place_id:ChIJXXccJGKKxZQRpOK4h29mTwk
2,GISELE CAPELLI EMBELEZAMENTO MELHORES DO ANO 2025,(11) 96388-8404,https://wa.me/5511963888404?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"R. Javri, 449 A - Vila Assunção, Santo André - SP, 09181-510",Vila Assunção,Santo André - SP,"Salão de Beleza, Esteticista, Studio de cílios, Massoterapeuta, Manicure, Perfumaria, Cabeleireiro, Loja de moda feminina",5.0,1022,Não,https://www.google.com/maps/place/?q=place_id:ChIJhSAzXG1CzpQR8q323REZ_M4
3,Vilela Hair - Cachos,(31) 97577-1464,https://wa.me/5531975771464?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"R. Eng. Pedro Bax, 455 - Santa Amelia, Belo Horizonte - MG, 31560-380",Santa Amelia,Belo Horizonte - MG,"Salão de Beleza, Cabeleireiro",4.9,719,Não,https://www.google.com/maps/place/?q=place_id:ChIJvbz9FTSRpgARIIvcQy10AO4
4,Channel Studio da Beleza Sorocaba,(15) 99641-3826,https://wa.me/5515996413826?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"R. Quinze de Novembro, 220 - Centro, Sorocaba - SP, 18010-081",Centro,Sorocaba - SP,Salão de Beleza,4.7,703,Não,https://www.google.com/maps/place/?q=place_id:ChIJ54ZMRweLxZQRkvaZxTFu_qM
5,Vieira Hair Salão de Beleza - Cabelereiro no Éden,(15) 98187-5332,https://wa.me/5515981875332?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"R. Salvador Leite Marques, 77 - Éden, Sorocaba - SP, 18103-050",Éden,Sorocaba - SP,"Salão de Beleza, Barbearia, Cabeleireiro",5.0,468,Não,https://www.google.com/maps/place/?q=place_id:ChIJA-x9G0xfz5QR6NXi2NvIgEo
6,Salão de Beleza Fortaleza | Kblos,(85) 98735-5060,https://wa.me/5585987355060?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"101, Av. Antônio Sales, 49 - Joaquim Távora, Fortaleza - CE, 60135-101",Joaquim Távora,"Av. Antônio Sales, 49 - Joaquim Távora","Salão de Beleza, Cabeleireiro",4.9,433,Não,https://www.google.com/maps/place/?q=place_id:ChIJZavCPvxIxwcRlcvNmtcMcxU
7,Nah Pink Hair,(11) 97653-1779,https://wa.me/5511976531779?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"Av. Hilário Pereira de Souza, 406 - Centro, Osasco - SP, 06010-170",Centro,Osasco - SP,Salão de Beleza,5.0,398,Não,https://www.google.com/maps/place/?q=place_id:ChIJrRq4ftj5zpQRFTmXOJZNtaI
8,Inovar Centro de Beleza,(16) 99787-7577,https://wa.me/5516997877577?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"R Dr Benjamim A Stauffer, 294 - Jardim Irajá, Ribeirão Preto - SP, 14020-350",Jardim Irajá,Ribeirão Preto - SP,"Salão de Beleza, Manicure, Podólogo",5.0,342,Não,https://www.google.com/maps/place/?q=place_id:ChIJuYJbUyu_uZQRJTcmShlhFTc
9,Salão Cheia de Charme - BH - Unidade 2,(31) 99075-0655,https://wa.me/5531990750655?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"Rua dos Tupinambás, 856 - Centro, Belo Horizonte - MG, 30120-074",Centro,Belo Horizonte - MG,Salão de Beleza,4.8,339,Não,https://www.google.com/maps/place/?q=place_id:ChIJgeTelmaZpgARt1TY7uUeJDg
10,Mésha Beauty Concept - Salão de Beleza - Sorocaba,(15) 98139-9679,https://wa.me/5515981399679?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"R. Aparecida, 1057 - Jardim Santa Rosália, Sorocaba - SP, 18095-000",Jardim Santa Rosália,Sorocaba - SP,"Salão de Beleza, Salão de sobrancelhas, Spa facial, Depilação, Cabeleireiro, Manicure, Podólogo, Terapeuta reiki",4.8,325,Não,https://www.google.com/maps/place/?q=place_id:ChIJ0e2eP6qKxZQRZxIHo_h7bwU
