ID,Nome,WhatsApp,Link_Conversa_WhatsApp,Endereço,Bairro,Cidade_UF,Categoria,Nota_Google,Qtd_Avaliacoes,Possui_Site,Link_Google_Maps
1,Top Box vidros,(41) 99821-4757,https://wa.me/5541998214757?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"R. Luiz França, 1695 - Cajuru, Curitiba - PR, 82940-090",Cajuru,Curitiba - PR,Vidraçaria,5.0,372,Não,https://www.google.com/maps/place/?q=place_id:ChIJ9b3xBmrl3JQRmLPqVvAej4k
2,LEMA VIDROS VIDRAÇARIA,(11) 94794-4265,https://wa.me/5511947944265?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"R. Gastão Vidigal, 20 - Matriz - Jardim Bela Vista, Santo André - SP, 09041-180",Jardim Bela Vista,Santo André - SP,"Vidraçaria, Fornecedor de esquadrias de alumínio, Janela de alumínio, Vidraceiro, Loja de espelhos, Loja de box para banheiro",5.0,250,Não,https://www.google.com/maps/place/?q=place_id:ChIJX8uB2DJDzpQRlZ5sF_PFXPQ
3,USE VIDROS,(16) 99234-7120,https://wa.me/5516992347120?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"Av. Portugal, 223 - Jardim Sao Luiz, Ribeirão Preto - SP, 14020-380",Jardim Sao Luiz,Ribeirão Preto - SP,"Vidraçaria, Janela de alumínio, Serviço de conserto de vidros, Loja especializada em vidros, Vidraceiro, Loja de espelhos, Fornecedor de molas",4.8,211,Não,https://www.google.com/maps/place/?q=place_id:ChIJ760pPBG_uZQRaejLzmMC_fE
4,Vidraçaria julia e Emanuelly,(81) 99688-8490,https://wa.me/5581996888490?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"Av. Senador Robert Kennedy, 04 - Ipsep, Recife - PE, 51190-485",Ipsep,Recife - PE,Vidraçaria,5.0,184,Não,https://www.google.com/maps/place/?q=place_id:ChIJk51fYNcfqwcRmsnmWHDZb68
5,J Guanabara Comércio Vidros Box,(16) 99706-0530,https://wa.me/5516997060530?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"R. Franco da Rocha, 1441 - Vila Virginia, Ribeirão Preto - SP, 14030-470",Vila Virginia,Ribeirão Preto - SP,Vidraçaria,4.6,179,Não,https://www.google.com/maps/place/?q=place_id:ChIJb2D-CZq-uZQRx-Rj_3yrF80
6,Vidraçaria Boa Esperança,(19) 99346-0446,https://wa.me/5519993460446?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"Rua Faustino Von Zuben, R. Projetada 9, Campinas - SP, 13056-405",Jardim São Cristóvão,Campinas - SP,Vidraçaria,5.0,173,Não,https://www.google.com/maps/place/?q=place_id:ChIJU85yH5S3yJQRO5lvyV4j_6o
7,Adonai Vidros,(11) 98885-5175,https://wa.me/5511988855175?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"Rua das Dálias, 266 - Assunção, São Bernardo do Campo - SP, 09811-460",Assunção,São Bernardo do Campo - SP,Vidraçaria,4.9,161,Não,https://www.google.com/maps/place/?q=place_id:ChIJswHtUshszpQRwZm8QnQRE-Q
8,Vidraçaria Matriz - RJ,(21) 98351-4075,https://wa.me/5521983514075?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"Estr. da Água Grande, 1322 - Lj B - Vista Alegre, Rio de Janeiro - RJ, 21230-355",Vista Alegre,Rio de Janeiro - RJ,"Vidraçaria, Serralharia",4.8,151,Não,https://www.google.com/maps/place/?q=place_id:ChIJLRsBzwp9mQAR5t6I3ArhKPM
9,Vidraçaria Sorocaba - Vidro e Arte,(15) 98811-0406,https://wa.me/5515988110406?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"Av. Ipanema, 5399 - Jardim Novo Horizonte, Sorocaba - SP, 18071-801",Jardim Novo Horizonte,Sorocaba - SP,"Vidraçaria, Fornecedor de esquadrias de alumínio, Vidraceiro, Loja de espelhos",4.8,128,Não,https://www.google.com/maps/place/?q=place_id:ChIJr5UM_AD1xZQR2JM-SeWVCP8
10,Vidraçaria Evolução,(15) 99198-0159,https://wa.me/5515991980159?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"Av. Edward Fru Fru Marciano da Silva, 75 - Jardim Sao Guilherme, Sorocaba - SP, 18074-621",Jardim Sao Guilherme,Sorocaba - SP,"Vidraçaria, Loja especializada em vidros, Vidraceiro",4.8,123,Não,https://www.google.com/maps/place/?q=place_id:ChIJhRRxdo71xZQRGUIP5jppDUU
11,Vidraçaria e Molduraria Itacorubi,(48) 99865-5891,https://wa.me/5548998655891?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"Servidão José Manoel Nunes, 2337 - Itacorubi, Florianópolis - SC, 88034-365",Itacorubi,Florianópolis - SC,"Vidraçaria, Fornecedor de estruturas de madeira",4.6,121,Não,https://www.google.com/maps/place/?q=place_id:ChIJudu_k904J5URYd_Bj40St6E
12,Vidraçaria Performance glass,(11) 96767-5984,https://wa.me/5511967675984?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"R. Lamartine Babo, 110 - Jardim Paraventi, Guarulhos - SP, 07120-110",Jardim Paraventi,Guarulhos - SP,Vidraçaria,5.0,105,Não,https://www.google.com/maps/place/?q=place_id:ChIJi6oIq571zpQRNfu_8xp_tKo
13,TJC VIDROS - VIDRAÇARIA FORTALEZA VIDROS EM GERAL,(85) 99671-0490,https://wa.me/5585996710490?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"R. Des. Lauro Nogueira, 311 - Papicu, Fortaleza - CE, 60175-055",Papicu,Fortaleza - CE,Loja especializada em vidros,4.9,105,Não,https://www.google.com/maps/place/?q=place_id:ChIJdcxhgkJHxwcRyzlZdmvkRgA
14,Vidracaria em santo andre,(11) 97057-3055,https://wa.me/5511970573055?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"Av. Queirós Filho, 2314 - Vila Humaita, Santo André - SP, 09121-000",Vila Humaita,Santo André - SP,"Vidraçaria, Fornecedor de esquadrias de alumínio, Loja de espelhos",4.5,84,Não,https://www.google.com/maps/place/?q=place_id:ChIJQ5yzTOVpzpQRc4yBnRVtpfI
15,Lucas Vidros e Esquadrias de alumínio,(11) 95134-1692,https://wa.me/5511951341692?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"R. dos Ciprestes, 1068 - Jardim Irene, Santo André - SP, 09170-530",Jardim Irene,Santo André - SP,"Fornecedor de esquadrias de alumínio, Serralharia",4.9,80,Não,https://www.google.com/maps/place/?q=place_id:ChIJu48RQ-hDzpQRdD69TWcDHfc
16,Zelo Vidros,(62) 98423-4112,https://wa.me/5562984234112?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Leonardo%2C%20quero%20falar%20a%20respeito%20de%20uma%20proposta.,"Avenida Anápolis, 2054 Qd 01 - Lt 03 Casa 4 - Vila Concórdia, Goiânia - GO, 74770-270",Vila Concórdia,Goiânia - GO,"Vidraçaria, Loja especializada em vidros, Vidraceiro",4.8,79,Não,https://www.google.com/maps/place/?q=place_id:ChIJfZSkM-DvXpMR8V3nd1mfGpg
